policy_name,policy_slug,policy_text,question_slug,question_category,question_text,question_points,available_options,selected_option,citation
Duolingo,duolingo,"To support and enhance the Service, we work with a variety of third party advertising networks, marketing analytics service providers and website analysis firms, such as Google, Facebook, Oath, and Unity (collectively, “Third Party Advertising Service Providers”). 
[...]
You can opt out of Google Analytics without affecting how you visit our site – 
[...]
You can opt-out of receiving personalized ads from advertisers and ad networks that are members of the Network Advertising Initiative (“NAI”) or who follow the DAA Self-Regulatory Principles for Online Behavioral Advertising using their respective opt-out tools.
Duolingo has implemented administrative and technical safeguards it believes are appropriate to protect the confidentiality, integrity and availability of your personal data, Testing ID, User Photo, access credentials, and Duolingo English Test results. However, given sufficient resources, a determined attacker could defeat those safeguards and may, as a result, gain access to the data we seek to protect.
Third Party Data
We also collect information about you from third parties. For more information, see Information obtained by Third Parties.
Last revised on 11th October, 2018
You also have the following rights in relation to the personal data we hold about you, unless provided otherwise by local law:
[...]
To delete your account with Duolingo by following the instructions available through the Service.
Duolingo shares your personal data only when it is necessary to offer the Service, legally required, or permitted by you.

We will provide personal data to hosting providers such as Amazon Web Services, search engine providers such as Google, analytics providers such as Crashlytics, and support providers such as ZenDesk.
Information you provide
Through the registration process, you will provide us with your name, e-mail address (or parent’s e-mail address), and age or date of birth. You will also provide us with your payment transaction information if you choose to pay for Duolingo services.

Activity Data
When you use the Service, you will submit information and content to your profile. We will also generate data about your use of our Services including your engagement in educational activities on the Service, or your sending of messages and otherwise transmitting information to other users (“Activity Data”). We also collect technical data about how you interact with our Services; for more information, see Cookies.

Live Speaking Practice
When you take a Live Speaking Lesson, we will use your computer's microphone throughout the lesson to speak to your tutor. You also have the option of using your camera to share your video with your tutor. Duolingo records these audio and video lessons and retains them until you close your Duolingo account. Duolingo uses this data to help improve the quality of the lessons and for internal research purposes.

Duolingo does not share any of your personal data with your tutor. You are completely anonymous to them by default, and you can freely choose whether you show them your video or tell them any personal details such as your name during the conversation. Duolingo only shares some basic skill level information with the tutor, prior to your lesson, so they understand how best to speak to you.

Test Data
If you register for the Duolingo English Test, you will also provide us with your gender, native language, secondary school, and self-reported test scores for other exams. Each time you take a test you must also provide a photo of a current, valid driver’s license, passport, or other government issued ID and a take a photo of your face to verify your identity (“Testing ID”).

When you use the Service to take an examination in the Duolingo English Test you must provide access to your computer’s webcam and microphone. We will use them to record you and your screen during the entire examination period (“Testing Video”). While using the Duolingo English Test, you will submit answers to questions and other information as part of the testing and evaluation process.

Third Party Data
We also collect information about you from third parties. For more information, see Information obtained by Third Parties.

Product Research and Development
We may contact you to participate in product research activities. These may include surveys, interviews, and other types of feedback sessions. When you participate in these research activities, the information you provide will be used to test, improve, and develop our products. We will record the video, audio and text transcriptions of this feedback together with any additional contact information you provide and will retain this data for two years.
We will provide personal data to hosting providers such as Amazon Web Services, search engine providers such as Google, analytics providers such as Crashlytics, and support providers such as ZenDesk.
We will be required to access and disclose personal data in response to lawful requests, such as subpoenas or court orders, or in compliance with applicable laws. Additionally, we will access and share account or other personal data when we believe it is necessary to comply with law, to protect our interests or property, to prevent fraud or other illegal activity perpetrated through the Service or using the Duolingo name, or to prevent imminent harm. This will include accessing and sharing personal data with other companies, lawyers, agents or government agencies.
Information you provide
Through the registration process, you will provide us with your name, e-mail address (or parent’s e-mail address), and age or date of birth. You will also provide us with your payment transaction information if you choose to pay for Duolingo services.

Activity Data
When you use the Service, you will submit information and content to your profile. We will also generate data about your use of our Services including your engagement in educational activities on the Service, or your sending of messages and otherwise transmitting information to other users (“Activity Data”). We also collect technical data about how you interact with our Services; for more information, see Cookies.

Live Speaking Practice
When you take a Live Speaking Lesson, we will use your computer's microphone throughout the lesson to speak to your tutor. You also have the option of using your camera to share your video with your tutor. Duolingo records these audio and video lessons and retains them until you close your Duolingo account. Duolingo uses this data to help improve the quality of the lessons and for internal research purposes.

Duolingo does not share any of your personal data with your tutor. You are completely anonymous to them by default, and you can freely choose whether you show them your video or tell them any personal details such as your name during the conversation. Duolingo only shares some basic skill level information with the tutor, prior to your lesson, so they understand how best to speak to you.

Test Data
If you register for the Duolingo English Test, you will also provide us with your gender, native language, secondary school, and self-reported test scores for other exams. Each time you take a test you must also provide a photo of a current, valid driver’s license, passport, or other government issued ID and a take a photo of your face to verify your identity (“Testing ID”).

When you use the Service to take an examination in the Duolingo English Test you must provide access to your computer’s webcam and microphone. We will use them to record you and your screen during the entire examination period (“Testing Video”). While using the Duolingo English Test, you will submit answers to questions and other information as part of the testing and evaluation process.

Third Party Data
We also collect information about you from third parties. For more information, see Information obtained by Third Parties.

Product Research and Development
We may contact you to participate in product research activities. These may include surveys, interviews, and other types of feedback sessions. When you participate in these research activities, the information you provide will be used to test, improve, and develop our products. We will record the video, audio and text transcriptions of this feedback together with any additional contact information you provide and will retain this data for two years.
We may update our Privacy Policy to reflect changes to our information practices. If we do this and the changes are material, we will post a notice that we have made changes to this Privacy Policy on the Website for at least 7 days before the changes are made, and we will indicate the date these terms were last revised at the bottom of the Privacy Policy.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}","Duolingo has implemented administrative and technical safeguards it believes are appropriate to protect the confidentiality, integrity and availability of your personal data, Testing ID, User Photo, access credentials, and Duolingo English Test results. However, given sufficient resources, a determined attacker could defeat those safeguards and may, as a result, gain access to the data we seek to protect."
System76,system76,"""Stripe may use cookies and similar technologies, i.e. for fraud detection and prevention.""
""Our website uses Plausible Analytics to help us understand visitor trends and the effectiveness of our marketing outreach.
Our website uses Stripe to process payments. Stripe may use cookies and similar technologies, i.e. for fraud detection and prevention.""
""Our website uses cookies to store session information, such as whether or not you are logged in. You can choose to disable or selectively turn off cookies or third-party cookies in your browser settings, but this may affect how you are able to interact with our site and others.""
""Our website uses cookies to store session information, such as whether or not you are logged in.""
""Our website uses Plausible Analytics to help us understand visitor trends and the effectiveness of our marketing outreach.""
""Our website uses cookies to store session information, such as whether or not you are logged in.""",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}","""Stripe may use cookies and similar technologies, i.e. for fraud detection and prevention."""
Privacy.com,privacy-com,"We Limit Use of Your Personal Data:

- To providing, maintaining and improving our Services;

- To communicating with you about new and existing Services;

- To protect the legal rights, property and safety of our Services and users.

....

California law allows California residents to request information about personal data we disclose to third parties for direct marketing purposes. However, Privacy.com does not disclose personal data to third parties for direct marketing purposes.
We take reasonable measures, including administrative, technical and physical safeguards to help protect your personal data from loss, theft, misuse, unauthorized access, disclosure, alteration and destruction.

We maintain strict security standards and procedures with a view to preventing unauthorized access to your data by anyone, including our staff. We use leading technologies such as (but not limited to) data encryption, firewalls and server authentication to protect the security of your data. Our staff and third parties whenever we hire them to provide support services, are required to observe our privacy standards and to allow us to audit them for compliance.
Last updated: May 24, 2018
We Share Personal Data Under Controlled Circumstances:

- With third parties, within the United States and in other countries, who may access data about you to perform functions on our behalf;

- With financial institutions, processors, payment card associations and other entities that are involved in the payment process;

- With government and law enforcement where reasonably necessary to comply with applicable law, regulation, legal process, governmental request;

- With others where reasonably necessary to protect the security or integrity of our Services or user safety;

- In Connection with, or during the negotiation of, any merger, sale of company stock or assets, financing, acquisition, divestiture or dissolution of all or a portion of our business;

- With your consent.

We may share data that is not personally identifiable with third parties.
We Limit Use of Your Personal Data:

- To providing, maintaining and improving our Services;

- To communicating with you about new and existing Services;

- To protect the legal rights, property and safety of our Services and users.
We Share Personal Data Under Controlled Circumstances:

...

- With government and law enforcement where reasonably necessary to comply with applicable law, regulation, legal process, governmental request;
We Collect and Use Data:
Data You Provide:
Your name, email address, phone number, birth date, last four digits of social security number, payment card and bank information as well as other information you may be asked to provide when signing-up for an account, providing identity verification or engaging in a transaction.


Other Data:

- Transaction Data: when, where and how a transaction takes place including, but not limited to, the devices and payment methods used;

- Device Data: hardware model, operating system, unique device identifiers, mobile network data as well as other data generated by a device's interaction with our Services;

- Location Data: to prevent fraudulent use of our Services;

- User Data: browser data, Internet Protocol (""IP"") addresses and other data describing user engagement;

- Cookies: small data files we may store on your computer or mobile device memory to help us manage your engagement with our Services, including gathering aggregated data about engagement;

- Beacons: small electronic images we may use in our Services and emails to deliver cookies and measure user engagement.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}","We take reasonable measures, including administrative, technical and physical safeguards to help protect your personal data from loss, theft, misuse, unauthorized access, disclosure, alteration and destruction.

We maintain strict security standards and procedures with a view to preventing unauthorized access to your data by anyone, including our staff. We use leading technologies such as (but not limited to) data encryption, firewalls and server authentication to protect the security of your data. Our staff and third parties whenever we hire them to provide support services, are required to observe our privacy standards and to allow us to audit them for compliance."
Qwant,qwant,"Therefore, every ad that Qwant displays fully adheres to the values we defend and our quality standards.
When you use Qwant, no personal information whatsoever is neither captured or transmitted to advertisers.
In details:
– No third party cookies
– No trackers
– No behavioral targeting
– No campaigns mixing legit and promotional content (native advertising)
We should always ask our search engine what are the personal data that it does not collect 🙂

To the maximum of its possibilities and the state of art, Qwant anonymizes the data it needs to collect to deliver its services.

When you use Qwant as a search engine, we don’t put any cookie on your browser that may allow us or others to recognize you or to follow you everywhere on the Internet. We don’t use any tracking device (pixel, fingerprinting…). We don’t collect and we don’t store any history or your searches. When you enter a search query, it is immediately anonymized following the processes detailed below. Long story short, what you are doing with Qwant is part of your privacy and we don’t want to know.

Qwant has a Privacy office dedicated to the protection of your privacy. It also has a Data Protection Officer (DPO). Both work closely with each other to ensure that the relevant regulation regarding personal data is applied as strongly as it should.

The DPO keeps an updated register of all processing of personal data made by Qwant for its services. For instance, when you create an account on the site, you can choose to fill in your profile and this is a processing of personal data for which the register will say how data may be kept (and how long), and who can access it.

We commit to do anything we can to ensure the security and confidentiality of our users personal data, including by preventing data damage, loss, or access by unauthorized third parties. Qwant’s URL has the HTTPS header that shows users they communicate with Qwant through a secure channel using the TLS protocol. Technically, TLS ensures users that their data can’t be intercepted by fraud. Moreover, the green lock that you see on most browsers when using Qwant certifies that you are browsing a secure website.
When Qwant requires Microsoft to transmit ads that match the entered keywords, Qwant anonymizes the required data and therefore only transmits to Microsoft the entered keywords with the User Agent of your browser (that is the type of browser that you use and its version), as well as a salted hash generated from a fraction of your IP address (last octet truncated) and the User Agent. An approximative geographic area of the origin of the search query, to the scale of a region or a city, is sent in order to deliver ads that are more locally relevant (for instance if you search for a plumber).
Last update : 21/02/2020
Even when you are connected with an ID, we don’t use any cookie nor any other tracking device when you browse the site. The only technology that may be installed on your browser, called “local storage”, is used to locally save your settings (language, activation or deactivation of options…). You can delete personal data stored in your “local storage” by deactivating cookies in your browser. However, this deactivation may prevent you from accessing some functionalities of the site, such as your browsing preferences.

For data of your Qwant account, your data will be deleted after 7 days from the day you delete your account. During this time, you have the possibility to reactivate your account by using your identifier and password.

Regarding data collected for the processing of information requests, Qwant deletes them within 6 months after the receipt of the request.
Some data are transmitted after anonymization to third party advertising partners, for click fraud and abuses detection, the detection of automated systems (bots), and the selection of local ads at the scale of a region or a region (see below).
Qwant does not require any registration to use its search engine. However, you may want to register an account to sign-in and enjoy advanced functionalities.

In such cases, we collect some personal data such as your name, firstname and email address:

- when you register to our services. You are free to manage yourself all the information related to your account (information changes, corrections, updates and deletion);
- or when you use forms available on our website, so that Qwant can process your request.
Qwant also collects connection data, not associated with your search queries, only to ensure the security of its information system and, if you create or modify Boards, to respect the obligation to identify content creators mandated by law.

Even when you are connected with an ID, we don’t use any cookie nor any other tracking device when you browse the site. The only technology that may be installed on your browser, called “local storage”, is used to locally save your settings (language, activation or deactivation of options…). You can delete personal data stored in your “local storage” by deactivating cookies in your browser. However, this deactivation may prevent you from accessing some functionalities of the site, such as your browsing preferences.

Users personal data are collected and processed by Qwant solely for the following purposes:

- the technical management of the user’s account(s) and available services, in accordance with our Terms of Use,  on the basis of article 6.1.b of the GDPR (processing that is necessary for the execution of the contract between you and us);;
- the management of information requests, in the context of the use of the services, on the basis for article 6.1.b of the GDPR (processing that is necessary for the execution of the Terms of Use, which are a contract between you and us);;
- the management of job applications, in the context of Qwant’s recruitement processes, on the basis of article 6.1.f of the GDPR (our legitimate interest, with respect to your fundamental rights and freedoms, to process your job applications);
- the management of delisting requests, requests related to rights regarding personal data, and content removal requests, in the context of the compliance by Qwant of its legal obligations, on the basis of article 6.1.c of the GDPR (necessity to comply with legal requirements);
- the security of Qwant’s information system, in the context of the management of the security and smooth operation of the services, including by detecting fraudulent clicks on ads and automated abusive search queries, on the basis of article 6.1.F of the GDPR (our legitimate interest to secure our services and detect anomalies in their use);
- the indexing of the Web and the presentation of the results associated to the keywords entered by the user, on the basis of article 6.1.b of the GDPR (processing that is necessary for the execution of the Terms of Use, which are a contract between you and us).

Qwant does not require any registration to use its search engine. However, you may want to register an account to sign-in and enjoy advanced functionalities.

In such cases, we collect some personal data such as your name, firstname and email address:

- when you register to our services. You are free to manage yourself all the information related to your account (information changes, corrections, updates and deletion);
- or when you use forms available on our website, so that Qwant can process your request.
Qwant also collects connection data, not associated with your search queries, only to ensure the security of its information system and, if you create or modify Boards, to respect the obligation to identify content creators mandated by law.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}","We should always ask our search engine what are the personal data that it does not collect 🙂

To the maximum of its possibilities and the state of art, Qwant anonymizes the data it needs to collect to deliver its services.

When you use Qwant as a search engine, we don’t put any cookie on your browser that may allow us or others to recognize you or to follow you everywhere on the Internet. We don’t use any tracking device (pixel, fingerprinting…). We don’t collect and we don’t store any history or your searches. When you enter a search query, it is immediately anonymized following the processes detailed below. Long story short, what you are doing with Qwant is part of your privacy and we don’t want to know.

Qwant has a Privacy office dedicated to the protection of your privacy. It also has a Data Protection Officer (DPO). Both work closely with each other to ensure that the relevant regulation regarding personal data is applied as strongly as it should.

The DPO keeps an updated register of all processing of personal data made by Qwant for its services. For instance, when you create an account on the site, you can choose to fill in your profile and this is a processing of personal data for which the register will say how data may be kept (and how long), and who can access it.

We commit to do anything we can to ensure the security and confidentiality of our users personal data, including by preventing data damage, loss, or access by unauthorized third parties. Qwant’s URL has the HTTPS header that shows users they communicate with Qwant through a secure channel using the TLS protocol. Technically, TLS ensures users that their data can’t be intercepted by fraud. Moreover, the green lock that you see on most browsers when using Qwant certifies that you are browsing a secure website."
TickTick,ticktick,"TickTick is built with strong security features that continuously protect your information. SSL protocol secures all data and information transmitted with Service. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we'll notify you and help guide you through steps to stay better protected.



We work hard to protect you and TickTick from unauthorized access, alteration, disclosure, or destruction of information we hold. You can learn more about our security measures from the Security page. 
When absolutely necessary, TickTick uses third party services and hosting partners who are also GDPR-compliant, such as AWS, Stripe, and Google. In such instances, we take essential security methods to guarantee that we comply with GDPR when sending and receiving data from third parties.
Date of Last Revision: October 31, 2019
All your private information will be deleted from our systems after deleting your account. There will be a 0-7 day period for your encrypted data to be kept in our backup archives. After this period, all your data will be permanently deleted. 
When a data breach that’s very likely to result in a risk for the rights of our users happened, we would notify you via official notifications or emails within 72 hours of first having become aware of the breach. We will do maximum possible efforts to maintain individuals’ privacy and to keep your data secure.
When absolutely necessary, TickTick uses third party services and hosting partners who are also GDPR-compliant, such as AWS, Stripe, and Google. In such instances, we take essential security methods to guarantee that we comply with GDPR when sending and receiving data from third parties.
We use data to build better services. Your information will not be shared with others and will only be used internally for the purposes described below: We use your information to deliver our services or information you requested, and to process and complete any transactions; We also use your information to ensure our services are working as intended, such as tracking outages or troubleshooting issues that you report to us. And we use your information to make improvements to our services - for example, to analyze usage and trends with anonymous user data, and to improve the quality of our service and user experience; TickTick collects email addresses from those who communicate with us via email, as well as information provided through voluntary activities such as site registration or survey participation. We use the information we collect to interact with you directly; We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm TickTick, our users, or the public.
At the time you register for TickTick, you voluntarily give us information such as your name and email address. You have the access and can update this information under your personal Account Settings at any time. We also collect aggregated, anonymous user data about the use of the app. 
[...]
We collect information about the browsers and devices you use to access TickTick. The user data we collect is used to enhance TickTick and the quality of our service. We only collect personal data required to deliver our services, and we only store it to the extent that it is essential to perform these services.
[...]
At the time you register for TickTick, you voluntarily give us information such as your name and email address. You have access and can update this information under your personal Account Settings at any time. 
Additionally, we collect information about your activity on our services. You give us your consent when using our services to use the following data: Email; IP address; Device ID; Name and surname (optional, unprocessed); Activity to add to-dos; Your location information when you allow TickTick to access your location for location-based reminders; People with whom you collaborate or share content.
If our Privacy Policy changes at some time in the future, we will not reduce your rights under this Privacy Policy without your explicit consent. We always indicate the date the latest changes were published. If changes are significant, we'll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes).



Please check back periodically to keep informed of updates or changes to this Privacy Policy. By continuing to access and to use TickTick, you are agreeing to be bound by the revised policy.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}","TickTick is built with strong security features that continuously protect your information. SSL protocol secures all data and information transmitted with Service. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we'll notify you and help guide you through steps to stay better protected.



We work hard to protect you and TickTick from unauthorized access, alteration, disclosure, or destruction of information we hold. You can learn more about our security measures from the Security page. "
gpodder.net,gpodder-net,"We try to protect this data as much as possible by utilizing secure coding practices, and by making sure that updates to vital system packages are always applied from the operating system vendor that we happen to use.

Passwords are stored in hashed format, which means that we cannot retrieve your plaintext password from the database. Instead, when you enter your password, we compare its hash with the stored hash to check its validity. When you forget your password, we cannot tell you old your password, but you can set a new one.

Connections to the web site and API parts are protected via SSL (Secure Socket Layer) HTTP connection (""HTTPS""), so that the data is not sent in plain text over the network.

The code running this web service is open source, and can be audited by independent third parties. We are grateful for any improvement suggestions, and will try to integrate improvement suggestions as quickly as possible.
We need to store your e-mail address so that we can inform you about news regarding the gpodder.net service. The e-mail address is also used to check your identity to change the password in case of a forgotten password.

Your e-mail address is solely used for the purposes of contacting you in case we upgrade our service, and to reset a forgotten password. We will never sell your e-mail address or give it to third parties.

The application-specific data is collected as part of the gpodder.net service. Without collection application-specific data, the web service can not be used.
When registering an account on gpodder.net, we store the following information about you:

- E-Mail address

When using a client application with gpodder.net, we might store the following application-specific data:

- User-supplied device name and type
- Per-device subscription list of podcasts
- Episode actions (e.g. play, download, delete) as sent by the client
- User-generated content when created inside the client application

Depending on the client application you use, we might only store a subset of this data.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}","We try to protect this data as much as possible by utilizing secure coding practices, and by making sure that updates to vital system packages are always applied from the operating system vendor that we happen to use.

Passwords are stored in hashed format, which means that we cannot retrieve your plaintext password from the database. Instead, when you enter your password, we compare its hash with the stored hash to check its validity. When you forget your password, we cannot tell you old your password, but you can set a new one.

Connections to the web site and API parts are protected via SSL (Secure Socket Layer) HTTP connection (""HTTPS""), so that the data is not sent in plain text over the network.

The code running this web service is open source, and can be audited by independent third parties. We are grateful for any improvement suggestions, and will try to integrate improvement suggestions as quickly as possible."
OnePlus US,oneplus-united-states,"4.4 We partner with a third party to display advertising on our website or to manage our advertising on other sites. Our third party partner may use cookies or similar technologies in order to provide you advertising based upon your browsing activities and interests. If you wish to opt out of interest-based advertising click here [or if located in the European Union click here]. Please note you will continue to receive generic ads
7.1 OnePlus only retains your personal information for the time period necessary for the purposes described in this Privacy Policy and as required by applicable laws and regulations.

7.2 OnePlus uses various management policies (such as establishing information security system; signing a confidentiality agreements with information management employees; allowing only work-related employees to access the information collected; and other similar policies) and security techniques and procedures (such as entering passwords before access, access control isolation, monitoring for computer use, etc.) to prevent the loss of information, improper use, and unauthorized reading or disclosure. For example, in some services, OnePlus uses encryption technology (such as TLS) to protect the personal information you provide.
2.2 Where permitted by law, OnePlus shall also obtain data about you from third-party sources [...]

4.2 [...] [Cookies and similar technologies] help OnePlus and third party service providers to better understand user behavior, [...]
Last updated date: November 25, 2018.
6.1 [...] To request removal of your personal information from our blog or community forum, contact us at email. In some cases, we may not be able to remove your personal information, in which case we will let you know if we are unable to do so and why.
7.3 If OnePlus is informed that the security of data it has acquired and stored is compromised  [...] OnePlus will take legal and reasonable steps it may deem appropriate to notify the relevant users, informing them [...].
5.1 We will disclose your personal information between affiliates or subsidiaries [...]

5.2 OnePlus will disclose your personal information to its service providers under certain circumstances. [...]

5.3 In addition, OnePlus shall disclose your information to public authorities with jurisdiction over the territories in which we operate

5.4 In any case of sharing your personal information with third parties, we endeavor to disclose it to such third parties only to the extent permitted by law [...]
2.1 When you register for an account and purchase a OnePlus product, you shall provide relevant personal information, [...]

3.1 Used for authentication, security, fraud monitoring, archiving and backup purposes to ensure the security of products and services provided to you by OnePlus.

3.2 Provide you with services 

3.3 Contact you directly.

3.4 Help OnePlus to improve products and services.

3.5 OnePlus may know about the regional distribution of OnePlus products.

3.6 With your consent, OnePlus may send you our latest product and service information,
2.2 Where permitted by law, OnePlus shall also obtain data about you from third-party sources.  [...]

2.3 When you activate and use a OnePlus product, we shall also collect information about your device or software [...]

2.4 Network information [...]

2.5 Location information [...]

[...]
3.4 Help OnePlus to improve products and services. For example, OnePlus will analyze and study the collected data to make user-friendly adjustments to its operating system and interface design in accordance with user characteristics. [...]
5.3 In addition, OnePlus shall disclose your information to public authorities with jurisdiction over the territories in which we operate to provide personal information of our users in compliance with the law or in the performance of legal procedure.
2.1 When you register for an account and purchase a OnePlus product, you shall provide relevant personal information, [...]

2.2 Where permitted by law, OnePlus shall also obtain data about you from third-party sources.  [...]

2.3 When you activate and use a OnePlus product, we shall also collect information about your device or software [...]

2.4 Network information [...]

2.5 Location information [...]

[...]
10.1 [...] Please check the Privacy Policy from time to time to confirm whether we have made any changes with reference to use of personal information.

10.2 If any changes to this Privacy Policy have a material impact on your rights, we will notify you by email (sent to the e-mail address specified in your account) or by means of a notice on this website prior to the change becoming effective.",security,transparency,Does the policy outline the service's general security practices?,3,"[{'description': '', 'option_key': 'no', 'percent': 0, 'text': 'No'}
 {'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}
 {'description': '', 'option_key': 'yes', 'percent': 60, 'text': 'Yes'}
 {'description': '""Reviews,"" ""monitoring,"" etc. also count as audits.', 'option_key': 'yes-audits', 'percent': 80, 'text': 'Yes, including audits'}
 {'description': 'Independent ""reviews,"" ""monitoring,"" etc. also count as independent audits.', 'option_key': 'yes-independent-audits', 'percent': 100, 'text': 'Yes, including independent audits'}
 {'description': ""The service doesn't collect any personal information."", 'option_key': 'na', 'percent': 100, 'text': 'N/A'}]","{'description': 'The policy provides only a very vague overview of its security practices.', 'option_key': 'somewhat', 'percent': 30, 'text': 'Somewhat'}","7.1 OnePlus only retains your personal information for the time period necessary for the purposes described in this Privacy Policy and as required by applicable laws and regulations.

7.2 OnePlus uses various management policies (such as establishing information security system; signing a confidentiality agreements with information management employees; allowing only work-related employees to access the information collected; and other similar policies) and security techniques and procedures (such as entering passwords before access, access control isolation, monitoring for computer use, etc.) to prevent the loss of information, improper use, and unauthorized reading or disclosure. For example, in some services, OnePlus uses encryption technology (such as TLS) to protect the personal information you provide."
